formula,metric_name,metric_value
barinel,density,0.19947231739745697
barinel,uniqueness,0.11372130272290443
barinel,entropy_barinel,0.01469764255107138
dstar,density,0.19947231739745697
dstar,uniqueness,0.11372130272290443
dstar,entropy_dstar,271.7370674029432
ochiai,density,0.19947231739745697
ochiai,uniqueness,0.11372130272290443
ochiai,entropy_ochiai,451.6829909484685
tarantula,density,0.19947231739745697
tarantula,uniqueness,0.11372130272290443
tarantula,entropy_tarantula,353.694992795702
barinel,density,0.2009295491533552
barinel,uniqueness,0.11981082501313715
barinel,entropy_barinel,0.017676168503463065
dstar,density,0.2009295491533552
dstar,uniqueness,0.11981082501313715
dstar,entropy_dstar,271.99496952911835
ochiai,density,0.2009295491533552
ochiai,uniqueness,0.11981082501313715
ochiai,entropy_ochiai,463.4735490903047
tarantula,density,0.2009295491533552
tarantula,uniqueness,0.11981082501313715
tarantula,entropy_tarantula,373.98496141877007
